serial,English,Physics,Chemistry,Mathematics,ComputerScience,Biology,PhysicalEducation,Economics,Accountancy,BusinessStudies
16034,4,0,0,4,0,0,0,1,2,2
86223,1,0,0,1,0,0,0,1,1,1
123192,5,7,8,8,0,0,7,0,0,0
82952,1,3,1,2,0,3,0,0,0,0
198557,3,3,4,3,0,0,1,0,0,0
44433,4,4,3,4,0,0,2,0,0,0
221472,5,4,4,4,0,0,0,3,0,0
113443,1,4,3,4,0,0,1,0,0,0
29573,2,1,1,1,0,0,1,0,0,0
172789,6,5,4,4,0,0,3,0,0,0
178827,5,0,0,8,0,0,8,6,6,0
134425,6,0,0,8,0,0,0,6,6,3
80150,1,5,3,7,2,0,0,0,0,0
123622,2,2,1,1,1,0,0,0,0,0
47523,2,3,3,2,0,0,4,0,0,0
145666,2,0,0,1,0,0,0,1,2,2
177984,1,0,0,3,0,0,0,3,2,1
67964,4,5,7,8,0,0,5,0,0,0
93566,3,7,7,7,6,0,0,0,0,0
17332,4,6,8,8,0,0,7,0,0,0
88111,2,1,1,3,0,0,1,0,0,0
196757,1,2,2,1,0,0,5,0,0,0
53678,1,3,2,2,0,2,0,0,0,0
131031,2,6,6,5,0,5,0,0,0,0
203661,2,2,4,2,0,0,0,1,0,0
14457,3,4,6,5,0,0,2,0,0,0
219324,3,4,5,5,0,0,4,0,0,0
34215,2,3,6,4,3,0,0,0,0,0
215615,5,8,6,6,0,0,4,0,0,0
100962,3,4,3,2,0,5,0,0,0,0
49187,5,3,4,2,3,0,0,0,0,0
70379,4,4,2,5,0,0,2,0,0,0
29529,4,8,4,7,0,0,4,0,0,0
31017,2,1,1,1,0,0,3,0,0,0
84904,3,7,6,6,5,0,0,0,0,0
5238,1,1,1,1,0,0,1,0,0,0
53310,3,6,7,7,0,6,0,0,0,0
104427,2,0,0,8,0,0,0,4,2,2
160024,3,4,3,5,0,0,7,0,0,0
28317,8,7,4,8,0,0,7,0,0,0
102365,4,4,5,4,2,0,0,0,0,0
64405,3,0,0,5,0,0,0,2,2,1
172087,2,0,0,4,0,0,0,1,3,1
83395,8,0,0,7,0,0,2,0,4,8
191532,4,6,8,7,0,0,6,0,0,0
154985,1,1,1,1,1,0,0,0,0,0
110791,6,7,5,8,0,0,5,0,0,0
23619,3,6,5,6,0,0,5,0,0,0
161400,2,3,3,6,0,0,1,0,0,0
209697,1,0,0,6,0,0,0,1,1,1
12830,5,0,0,8,0,0,0,3,4,7
89849,2,0,0,3,0,0,0,1,1,2
148728,1,7,7,6,6,0,0,0,0,0
53255,2,2,2,3,6,0,0,0,0,0
214479,7,2,5,3,0,0,4,0,0,0
23859,5,5,5,7,6,0,0,0,0,0
169595,4,2,2,3,0,0,5,0,0,0
157992,1,4,5,5,0,4,0,0,0,0
91085,3,3,1,1,0,3,0,0,0,0
90239,5,3,8,5,0,0,7,0,0,0
171550,1,4,6,5,0,0,1,0,0,0
915,2,1,1,1,0,2,0,0,0,0
174870,1,1,1,1,0,0,2,0,0,0
106717,1,3,4,4,0,0,4,0,0,0
78860,3,4,2,8,6,0,0,0,0,0
218408,2,3,2,3,0,0,2,0,0,0
195173,3,2,1,1,2,0,0,0,0,0
90668,4,6,5,8,0,7,0,0,0,0
185612,4,8,5,4,0,0,2,0,0,0
91424,1,1,1,1,0,0,3,0,0,0
132598,5,3,1,4,3,0,0,0,0,0
111392,7,8,8,6,0,0,7,0,0,0
93556,2,6,6,5,0,0,3,0,0,0
85206,5,4,5,6,0,0,1,0,0,0
79816,2,1,1,1,0,1,0,0,0,0
15029,1,0,0,4,0,0,0,3,1,1
187818,6,5,3,3,0,0,2,0,0,0
7901,1,1,1,3,0,1,0,0,0,0
186742,3,4,6,7,0,4,0,0,0,0
191423,2,1,2,2,2,0,0,0,0,0
18629,1,0,0,1,0,0,0,1,1,2
171873,3,4,4,5,0,0,3,0,0,0
173710,5,8,6,6,0,0,6,0,0,0
172892,5,2,4,4,0,0,4,0,0,0
73873,4,7,6,6,0,0,4,0,0,0
140816,4,5,7,5,6,0,0,0,0,0
203554,4,5,4,6,5,0,0,0,0,0
100247,5,6,4,8,0,3,0,0,0,0
104284,4,8,6,7,0,7,0,0,0,0
84460,5,5,6,6,7,0,0,0,0,0
200935,1,0,0,4,0,0,0,1,1,1
139225,4,0,0,7,0,0,0,2,3,6
13831,3,0,0,4,0,0,0,2,1,2
13084,1,0,0,5,0,0,0,4,3,1
103451,3,2,3,5,0,0,1,0,0,0
167135,2,5,6,7,0,4,0,0,0,0
68478,4,1,2,1,0,0,3,0,0,0
197266,6,0,0,5,0,0,0,2,2,3
48317,1,4,2,4,0,1,0,0,0,0
101274,4,2,2,4,0,0,3,0,0,0
162340,1,1,1,1,0,0,1,0,0,0
143280,2,3,3,6,0,2,0,0,0,0
15005,3,5,5,3,6,0,0,0,0,0
101814,3,5,6,8,0,5,0,0,0,0
5194,6,5,5,8,0,6,0,0,0,0
8427,6,0,0,8,0,0,0,7,6,7
169465,1,2,1,2,0,2,0,0,0,0
63983,1,3,2,1,0,2,0,0,0,0
75090,2,5,7,8,0,7,0,0,0,0
52422,8,4,4,1,0,4,0,0,0,0
125875,1,1,1,1,0,1,0,0,0,0
28103,3,6,8,7,0,0,3,0,0,0
70316,4,6,5,8,0,0,8,0,0,0
72739,1,2,3,1,0,0,1,0,0,0
142876,4,0,0,5,0,0,0,5,4,3
84547,3,7,7,8,0,1,0,0,0,0
69521,1,2,1,1,4,0,0,0,0,0
209880,6,2,2,2,0,0,3,0,0,0
107415,5,0,0,3,0,0,0,3,4,5
71454,2,0,0,6,0,0,0,2,2,1
102218,1,7,4,7,0,0,2,0,0,0
182667,3,1,2,1,0,1,0,0,0,0
24943,6,4,5,6,0,0,5,0,0,0
152276,2,1,2,1,0,0,3,0,0,0
30232,2,3,4,5,0,4,0,0,0,0
191939,2,3,3,4,0,5,0,0,0,0
43319,4,4,6,3,0,0,6,0,0,0
218801,3,7,6,8,6,0,0,0,0,0
145131,3,0,0,6,0,0,0,6,3,1
10812,2,4,4,6,6,0,0,0,0,0
198110,1,1,3,1,2,0,0,0,0,0
41425,5,8,7,7,0,0,4,0,0,0
197101,2,7,7,8,0,0,1,0,0,0
17004,5,7,7,7,0,0,4,0,0,0
5019,3,6,6,7,0,0,5,0,0,0
113239,3,0,0,7,0,0,0,5,3,7
184777,4,7,4,7,0,0,1,0,0,0
210006,1,2,1,1,0,0,1,0,0,0
147577,7,8,7,6,0,0,6,0,0,0
37386,1,1,1,1,1,0,0,0,0,0
128597,1,1,1,1,1,0,0,0,0,0
65187,3,5,5,5,7,0,0,0,0,0
117709,2,1,2,1,1,0,0,0,0,0
151721,1,4,3,2,0,0,2,0,0,0
60727,6,3,8,3,0,0,5,0,0,0
2138,5,6,4,4,0,0,6,0,0,0
152925,3,3,3,3,0,0,1,0,0,0
197532,4,4,5,7,0,7,0,0,0,0
23224,2,3,7,4,0,5,0,0,0,0
7217,3,0,0,1,0,0,0,1,1,1
79709,5,5,4,4,6,0,0,0,0,0
45754,2,3,3,1,0,0,2,0,0,0
221295,1,5,4,8,0,0,2,0,0,0
48101,1,2,3,2,0,0,1,0,0,0
69075,7,0,0,6,0,0,3,0,4,6
37283,5,8,5,6,0,0,2,0,0,0
157387,2,2,1,2,3,0,0,0,0,0
169272,5,0,0,8,0,0,0,4,1,1
218580,2,5,4,5,0,2,0,0,0,0
10581,3,4,2,3,0,4,0,0,0,0
214703,5,6,3,5,0,7,0,0,0,0
137635,1,2,3,3,0,3,0,0,0,0
220422,1,2,2,3,0,0,4,0,0,0
134673,6,8,8,8,0,0,5,0,0,0
50541,5,8,5,7,0,0,3,0,0,0
60673,7,0,0,8,0,0,0,4,5,6
49190,1,6,5,8,0,4,0,0,0,0
139932,4,2,2,1,3,0,0,0,0,0
91461,4,0,0,5,0,0,0,2,1,2
93085,1,1,2,1,1,0,0,0,0,0
135555,2,4,5,5,4,0,0,0,0,0
36936,5,2,6,2,5,0,0,0,0,0
116696,3,1,1,1,0,0,6,0,0,0
150514,3,6,4,5,4,0,0,0,0,0
111642,2,5,4,6,0,0,1,0,0,0
195946,2,1,1,2,0,0,1,0,0,0
173339,3,0,0,7,0,0,0,2,5,3
1566,1,4,3,3,0,2,0,0,0,0
160479,2,2,2,3,0,2,0,0,0,0
61399,1,1,1,1,0,0,0,1,0,0
107929,5,5,5,2,0,0,1,0,0,0
50125,1,4,3,2,0,0,3,0,0,0
57333,5,2,2,2,0,0,4,0,0,0
25397,4,7,7,7,0,0,4,0,0,0
52684,3,1,2,2,0,0,2,0,0,0
47999,7,5,4,2,0,0,1,0,0,0
185053,1,1,1,1,0,0,5,0,0,0
215380,1,5,2,3,3,0,0,0,0,0
90916,3,3,4,7,7,0,0,0,0,0
32218,3,6,7,3,4,0,0,0,0,0
51428,1,2,2,2,2,0,0,0,0,0
186113,2,2,1,1,0,0,2,0,0,0
9093,7,7,6,8,0,8,0,0,0,0
201948,3,5,6,8,7,0,0,0,0,0
134944,4,2,2,2,1,0,0,0,0,0
180484,6,1,3,2,0,0,3,0,0,0
174791,1,5,4,5,0,4,0,0,0,0
134949,1,3,3,3,2,0,0,0,0,0
103869,2,2,2,1,2,0,0,0,0,0
141572,4,4,2,2,0,0,1,0,0,0
221716,4,8,6,8,6,0,0,0,0,0
118550,6,0,8,8,0,8,5,0,0,0
220269,1,0,0,1,0,0,0,1,1,1
101450,3,0,0,8,0,0,0,8,7,5
129674,2,0,0,1,0,0,0,1,1,1
28058,6,3,4,3,1,0,0,0,0,0
115568,1,1,1,1,0,0,1,0,0,0
77739,5,7,5,6,5,0,0,0,0,0
121255,2,3,5,3,0,0,1,0,0,0
148602,5,8,8,7,5,0,0,0,0,0
16722,3,5,6,4,0,5,0,0,0,0
71039,3,8,8,8,0,0,6,0,0,0
183879,4,3,3,3,0,0,1,0,0,0
146376,3,6,5,6,4,0,0,0,0,0
180392,2,0,0,5,0,0,3,0,5,7
162637,1,1,1,1,0,0,1,0,0,0
178199,1,1,2,4,0,0,1,0,0,0
190773,4,2,2,3,0,1,0,0,0,0
115879,6,0,0,8,0,0,0,7,7,4
69347,1,5,4,7,6,0,0,0,0,0
181133,6,6,5,4,0,0,2,0,0,0
189891,5,5,6,5,0,0,4,0,0,0
153596,1,1,1,1,0,0,1,0,0,0
134378,2,0,0,8,0,0,0,3,2,2
192087,3,5,5,7,0,0,1,0,0,0
148575,3,1,1,1,0,0,6,0,0,0
60109,1,1,1,2,0,1,0,0,0,0
1961,1,0,0,1,0,0,0,1,2,1
156815,4,6,5,5,0,6,0,0,0,0
162174,1,3,3,3,0,0,1,0,0,0
213627,2,4,6,2,0,0,2,0,0,0
138786,1,3,4,3,0,6,0,0,0,0
97641,5,0,0,8,0,0,0,5,5,5
41545,4,5,5,7,3,0,0,0,0,0
108279,2,0,0,2,0,0,0,1,1,1
76721,2,4,5,3,2,0,0,0,0,0
153000,3,1,1,1,2,0,0,0,0,0
130304,3,8,7,8,0,0,4,0,0,0
161084,2,3,2,6,2,0,0,0,0,0
207180,1,1,1,2,0,1,0,0,0,0
157459,4,7,8,8,0,0,8,0,0,0
182838,7,6,5,6,0,0,4,0,0,0
23198,1,1,1,1,0,0,1,0,0,0
29690,1,1,1,1,0,0,2,0,0,0
147078,4,4,2,7,0,3,0,0,0,0
96027,6,7,6,8,3,0,0,0,0,0
157138,3,3,2,1,0,2,0,0,0,0
74789,7,6,8,7,0,0,7,0,0,0
47850,4,3,1,2,3,0,0,0,0,0
193856,6,3,3,6,3,0,0,0,0,0
156474,6,8,7,5,0,0,8,0,0,0
92353,2,2,3,4,0,0,4,0,0,0
127010,4,7,5,8,6,0,0,0,0,0
16797,3,8,4,3,0,7,0,0,0,0
51166,8,7,5,4,0,0,8,0,0,0
110443,2,2,2,2,0,0,2,0,0,0
188223,2,2,5,6,6,0,0,0,0,0
156832,1,3,2,6,0,3,0,0,0,0
175898,5,4,5,7,5,0,0,0,0,0
18579,1,1,2,1,0,2,0,0,0,0
129480,2,3,4,5,0,5,0,0,0,0
147693,3,6,6,8,1,0,0,0,0,0
22418,2,0,0,3,0,0,2,1,1,0
8832,6,0,0,8,0,0,0,5,6,6
35407,6,0,0,8,0,0,0,5,7,7
769,5,0,0,5,0,0,0,4,5,3
204995,5,0,0,5,0,0,0,4,3,5
134861,5,2,1,1,0,0,2,0,0,0
165253,3,2,3,4,0,3,0,0,0,0
131440,1,2,2,2,0,0,2,0,0,0
143065,3,2,5,4,3,0,0,0,0,0
214986,4,3,4,4,5,0,0,0,0,0
103284,4,5,5,4,5,0,0,0,0,0
5792,4,3,2,2,0,0,5,0,0,0
202068,1,0,0,2,0,0,0,1,2,1
115037,1,3,2,4,0,0,1,0,0,0
210123,1,1,1,1,0,0,1,0,0,0
38624,1,1,1,1,1,0,0,0,0,0
30137,3,0,0,1,0,0,0,1,1,1
80549,4,4,2,2,0,5,0,0,0,0
194782,1,1,2,1,1,0,0,0,0,0
198783,6,7,8,4,0,0,3,0,0,0
214012,2,2,2,3,4,0,0,0,0,0
49359,5,7,6,8,0,0,3,0,0,0
150763,6,5,8,6,0,0,6,0,0,0
70860,2,6,2,7,0,5,0,0,0,0
34552,1,5,7,8,0,4,0,0,0,0
64977,1,1,1,2,2,0,0,0,0,0
55345,4,3,3,5,0,3,0,0,0,0
128551,7,7,8,5,0,0,1,0,0,0
90393,1,0,0,2,0,0,0,1,2,1
68321,1,0,0,1,0,0,0,1,1,1
175855,2,8,3,7,0,8,0,0,0,0
125494,4,5,3,2,0,0,1,0,0,0
135262,1,2,2,6,0,0,1,0,0,0
19852,6,8,8,3,0,0,4,0,0,0
185870,6,0,0,8,0,0,0,4,4,3
43039,3,4,6,7,0,0,5,0,0,0
194129,4,8,6,8,0,0,6,0,0,0
55720,3,3,4,4,6,0,0,0,0,0
127370,1,0,0,2,0,0,0,1,1,2
115518,2,3,4,5,4,0,0,0,0,0
171219,1,6,4,8,0,5,0,0,0,0
157533,2,3,5,5,4,0,0,0,0,0
73802,6,3,2,2,0,0,3,0,0,0
185758,6,8,6,5,0,0,5,0,0,0
6289,3,4,4,5,0,1,0,0,0,0
37046,1,0,0,1,0,0,0,1,1,1
173224,7,8,7,5,7,0,0,0,0,0
163461,1,1,1,3,0,1,0,0,0,0
104714,5,0,0,5,0,0,0,3,1,5
160085,2,4,5,3,0,7,0,0,0,0
52394,2,1,2,4,0,0,2,0,0,0
157618,7,5,5,4,0,0,5,0,0,0
174335,2,2,5,2,0,0,4,0,0,0
187217,1,6,7,5,0,0,4,0,0,0
175706,2,5,1,3,0,0,5,0,0,0
158789,2,2,3,2,0,0,1,0,0,0
188667,4,5,6,6,5,0,0,0,0,0
927,5,7,6,5,0,0,2,0,0,0
117943,2,7,7,5,0,0,4,0,0,0
139440,4,6,7,2,0,0,6,0,0,0
167431,6,5,4,2,0,1,0,0,0,0
183494,3,4,6,7,6,0,0,0,0,0
100039,2,1,2,3,0,0,1,0,0,0
215904,2,7,6,8,0,0,5,0,0,0
8681,1,0,0,4,0,0,0,1,1,1
154192,4,6,4,6,0,0,4,0,0,0
60301,1,8,6,8,0,0,5,0,0,0
38067,4,8,5,7,0,3,0,0,0,0
15839,1,1,1,1,0,0,2,0,0,0
4833,1,0,0,8,0,0,0,4,4,4
158880,6,0,0,7,0,0,0,3,4,5
145184,5,3,5,3,0,0,4,0,0,0
14476,1,1,2,1,0,0,4,0,0,0
191543,5,7,5,4,0,0,2,0,0,0
121765,4,5,3,6,0,0,1,0,0,0
91809,5,3,3,3,0,0,4,0,0,0
166120,1,6,6,4,0,0,0,4,0,0
7553,2,0,0,2,0,0,0,1,1,1
187438,3,0,0,8,0,0,0,5,3,5
168351,1,1,2,1,0,2,0,0,0,0
168165,5,5,3,3,0,0,2,0,0,0
110552,3,7,7,4,7,0,0,0,0,0
48657,2,4,6,6,0,4,0,0,0,0
84207,6,8,7,8,0,0,2,0,0,0
84611,4,6,4,8,0,0,5,0,0,0
33393,3,3,2,3,0,0,1,0,0,0
59350,3,0,0,1,0,0,0,1,1,1
37948,5,3,3,6,0,2,0,0,0,0
140572,4,4,5,2,0,0,3,0,0,0
150322,5,2,3,1,0,0,5,0,0,0
110688,3,2,5,6,0,4,0,0,0,0
108464,3,3,2,3,0,0,4,0,0,0
167709,1,2,2,3,3,0,0,0,0,0
208497,3,1,1,2,0,1,0,0,0,0
216346,1,0,0,1,0,0,0,1,1,1
62638,2,6,6,5,0,0,6,0,0,0
103864,1,1,1,1,1,0,0,0,0,0
94763,3,2,3,4,5,0,0,0,0,0
152456,1,1,1,1,0,0,0,1,0,0
7377,4,2,2,2,3,0,0,0,0,0
220635,6,6,5,5,4,0,0,0,0,0
146214,3,5,8,5,0,0,1,0,0,0
155058,1,2,2,3,0,3,0,0,0,0
88607,1,1,1,1,2,0,0,0,0,0
43682,1,0,0,4,0,0,0,2,1,1
9546,5,2,1,2,0,2,0,0,0,0
118978,2,4,6,3,1,0,0,0,0,0
109399,3,2,1,1,0,0,1,0,0,0
197993,1,0,0,5,0,0,0,1,1,1
212274,1,5,2,5,0,3,0,0,0,0
154902,2,8,6,2,0,0,2,0,0,0
158320,1,0,0,1,0,0,0,1,1,1
91542,6,7,8,7,0,0,8,0,0,0
112616,3,1,2,2,0,0,2,0,0,0
64281,5,6,5,6,0,0,6,0,0,0
94114,4,4,3,5,6,0,0,0,0,0
36239,3,2,2,2,0,0,2,0,0,0
203429,3,2,5,4,0,4,0,0,0,0
8703,1,1,1,1,1,0,0,0,0,0
22495,3,6,4,6,0,0,1,0,0,0
160131,1,0,0,2,0,0,0,1,1,1
200735,1,2,1,2,0,1,0,0,0,0
4200,2,2,1,1,3,0,0,0,0,0
97162,5,8,7,8,0,0,8,0,0,0
22988,3,3,4,3,3,0,0,0,0,0
208017,1,1,1,1,1,0,0,0,0,0
114183,1,2,3,3,0,0,1,0,0,0
54313,4,4,6,6,5,0,0,0,0,0
190853,3,3,3,4,0,2,0,0,0,0
38488,1,3,3,2,0,0,3,0,0,0
190943,6,8,5,5,0,0,2,0,0,0
218692,1,0,0,1,0,0,0,2,1,1
101701,2,5,4,8,0,0,5,0,0,0
139736,3,3,4,4,0,5,0,0,0,0
36619,1,1,1,1,1,0,0,0,0,0
72196,1,3,3,6,0,2,0,0,0,0
220659,3,6,4,8,0,0,3,0,0,0
99240,2,2,2,3,0,0,4,0,0,0
58827,4,2,8,7,5,0,0,0,0,0
149455,7,7,5,7,0,0,5,0,0,0
49739,5,5,4,6,0,0,2,0,0,0
145035,4,6,6,8,0,0,3,0,0,0
71157,6,7,6,5,0,0,5,0,0,0
99336,7,6,6,5,0,0,4,0,0,0
198723,1,1,3,3,0,0,3,0,0,0
33386,4,3,1,3,0,4,0,0,0,0
172523,2,1,1,2,3,0,0,0,0,0
146973,2,1,1,1,1,0,0,0,0,0
47313,1,3,4,2,0,0,1,0,0,0
214080,3,4,2,6,0,0,5,0,0,0
163303,1,1,1,1,0,2,0,0,0,0
111280,6,7,6,7,0,0,3,0,0,0
221691,2,3,4,3,5,0,0,0,0,0
196906,1,1,1,1,1,0,0,0,0,0
31278,1,4,3,6,0,4,0,0,0,0
61530,6,0,0,8,0,0,0,4,3,3
140302,1,1,1,1,0,0,0,1,0,0
19738,1,1,1,1,2,0,0,0,0,0
196954,3,5,3,5,6,0,0,0,0,0
219849,4,8,4,6,0,0,5,0,0,0
125802,1,6,3,5,5,0,0,0,0,0
131508,2,2,4,5,0,2,0,0,0,0
132470,5,0,0,5,0,0,0,6,3,7
4915,2,0,0,8,0,0,0,6,6,8
1665,3,4,5,4,3,0,0,0,0,0
52094,1,2,3,8,0,6,0,0,0,0
27898,5,3,3,4,0,0,6,0,0,0
66783,5,0,0,7,0,0,0,2,1,4
34083,1,0,0,1,0,0,0,1,1,2
18484,4,3,1,3,0,0,6,0,0,0
143027,4,6,7,7,0,0,6,0,0,0
62589,2,5,5,4,6,0,0,0,0,0
113215,1,1,2,1,0,0,1,0,0,0
162954,4,0,0,5,0,0,0,1,2,2
211845,3,7,7,8,0,0,7,0,0,0
104933,4,4,3,4,0,6,0,0,0,0
212796,2,8,8,6,0,7,0,0,0,0
102026,3,3,5,5,0,0,1,0,0,0
170302,3,1,1,1,2,0,0,0,0,0
96186,1,0,0,3,0,0,0,1,3,1
